petri_plate,treatment,week,treatment_week,,cq_irr,cq_is,root_weight[mg],root_extraction_mas[mg],intraradical_hyphae[log(copy#)],intraradical_hyphae[copy#]
32,control,2,control_2,,31.36731361,18.62891831,61.95,22.91,6.825974119,6698446.897
34,control,2,control_2,,25.97796738,18.66325262,52.57,21.91,8.346664727,222159416.8
35,control,2,control_2,,28.0180203,19.05340023,72.46,22.76,7.874207757,74852749.43
36,control,2,control_2,,27.03074527,18.15000265,25.89,17.7,7.824527323,66761690.17
38,control,2,control_2,,26.80890935,17.98057146,46.21,22.07,8.045033896,110926138.7
39,control,2,control_2,,26.86155701,18.53180782,65.64,22.08,8.181907176,152022257.2
63,control,2,control_2,,25.36123837,17.66751072,48.79,20.27,8.528007722,337293305.7
86,control,2,control_4,,26.96916286,18.53692525,65.82,21.09,8.171619584,148463462.3
92,crash,2,crash_2,,27.76067415,18.6786902,56.23,22.3,7.848038512,70475556.22
93,crash,2,crash_2,,28.66337124,19.20381116,64.7,218.8,6.653825244,4506353.365
94,crash,2,crash_2,,26.10851992,18.36938367,55.21,19.82,8.373387993,236258799.6
95,crash,2,crash_2,,26.24693777,18.32434094,59.71,20,8.363100643,230728181.4
96,crash,2,crash_2,,26.17261766,18.46556391,46.25,19.83,8.277559198,189478177.3
98,crash,2,crash_2,,25.82433891,18.51992937,51.6,23,8.36231978,230313704.2
99,crash,2,crash_2,,27.58417399,18.7867309,47.99,21.39,7.848818004,70602162.55
100,crash,2,crash_2,,31.97780208,21.29177249,31.88,20.45,6.408642362,2562373.075
101,crash,2,crash_2,,30.97507266,20.00982837,49.71,21.13,6.879958073,7585043.444
102,crash,2,crash_2,,26.5489434,18.66502202,49.57,21.08,8.171306637,148356519.8
103,crash,2,crash_2,,27.64315018,19.07737209,41.05,20.85,7.774875888,59549194.09
105,crash,2,crash_2,,29.11534072,19.00006823,12.3,19.97,6.840610633,6928043.935
107,crash,2,crash_2,,29.22019829,20.1168209,64.28,21.09,7.504485436,31951072.16
108,crash,2,crash_2,,31.35241563,20.07869281,57.97,22.08,6.817509359,6569152.73
109,crash,2,crash_2,,NA,29.98532907,64.61,20.37,NA,NA
161,extra,2,extra_2,,26.8589472,17.44532049,56.6,21.71,8.125655823,133553669
162,extra,2,extra_2,,27.52503591,18.09798699,33.8,21.24,7.716896718,52107077.76
163,extra,2,extra_2,,37.57689472,17.68366994,35.93,22.16,4.791889591,61928.36163
