petri_plate,treatment,week,treatment_week,rootweight[mg],total_QD[nmol/mg root],core_QD[nmol/mg root],stable_QD[nmol/mg root],treated_QD[nmol/mg root],stable&treated_QD[nmol/mg root],ratio_QD_stable/treated[nmol/mg root],total_QD[nmol/ root],core_QD[nmol/ root],stable_QD[nmol/ root],treated_QD[nmol/ root],stable_treated_QD[nmol/ root],ratio_QD_stable&treated[nmol/ root],extraradical_hyphae_core[log(copy#)],extraradical_hyphae_stable[log(copy#)],extraradical_hyphae_treated[log(copy#)],extraradical_hyphae_core[copy#],extraradical_hyphae_stable[copy#],extraradical_hyphae_treated[copy#],extraradical_hyphae_total[copy#],extraradical_hyphae_stable&treated[copy#],extraradical_hyphae_total[log(copy#)],extraradical_hyphae_stable&treated[log(copy#)],extraradical_hyphae_core[mg],extraradical_hyphae_treated[mg],extraradical_hyphae_stable[mg],extraradical_hyphae_total[mg],extraradical_hyphae_stable&treated[mg],C:P_total[mg/ mg root] ,C:P_core[mg/ mg root] ,C:P_treated[mg/ mg root] ,C:P_stable[mg/ mg root] ,C:P_stable&treated[mg/ mg root] 
21,control,2,control_2,51.27,0.00116517,0.000189727,0.00055567,0.000419774,0.000975444,0.755437607,0.05973829,0.009727289,0.028489193,0.021521808,0.050011,0.755437607,6.417807319,5.61439435,6.543840423,2617021.674,411523.2249,3498166.068,6526710.967,3909689.293,6.814694381,6.592142245,0.065425542,0.087454152,0.010288081,0.163167774,0.097742232,127300.7795,51043.91796,8026.589134,68230.27244,7.893076703
22,control,2,control_2,55.66,0.002384121,0.000471255,0.000974278,0.000938587,0.001912866,0.963366761,0.132700173,0.02623007,0.054228331,0.052241772,0.106470103,0.963366761,6.544279421,6.081206259,5.542740742,3501703.912,1205608.382,348931.9535,5056244.248,1554540.336,6.703828045,6.191601995,0.087542598,0.008723299,0.03014021,0.126406106,0.038863508,90841.61422,62912.39511,21660.22964,6268.989463,7.164374322
23,control,2,control_2,53.31,0.000482756,0.000244625,0.000121839,0.000116292,0.000238131,0.954473093,0.025735706,0.01304096,0.006495226,0.006199519,0.012694745,0.954473093,5.881841965,3.514276698,6.049958853,761801.749,3267.959741,1121912.154,1886981.863,1125180.114,6.275767726,6.051222048,0.019045044,0.028047804,8.1699E-05,0.047174547,0.028129503,35396.39585,14290.03468,61.30106436,21045.0601,7.947598061
25,control,2,control_2,58.39,0.002698087,0.000780007,0.001284955,0.000633125,0.001918081,0.49272184,0.157541324,0.045544596,0.075028532,0.036968196,0.111996728,0.49272184,5.611666385,6.011191913,6.650023977,408946.3959,1026105.257,4467082.54,5902134.193,5493187.797,6.77100908,6.739824447,0.01022366,0.111677064,0.025652631,0.147553355,0.137329695,101081.2501,7003.706044,17573.30462,76504.23942,7.69061911
26,control,2,control_2,56.14,0.00160883,0.000398886,0.000611223,0.000598721,0.001209944,0.979545747,0.09031973,0.022393468,0.034314065,0.033612197,0.067926262,0.979545747,6.227546532,5.182307742,4.259180943,1688676.783,152162.5375,18162.72229,1859002.043,170325.2598,6.269279867,5.23127906,0.04221692,0.000454068,0.003804063,0.046475051,0.004258131,33113.68085,30079.7432,2710.412139,323.5255128,6.399241344
27,control,2,control_2,53.58,0.002823165,0.000833281,0.00105152,0.000938365,0.001989884,0.892388799,0.151265201,0.044647199,0.056340432,0.05027757,0.106618002,0.892388799,6.122543942,4.413693116,5.029501323,1326001.277,25923.46895,107028.9644,1458953.71,132952.4334,6.164041513,5.12369629,0.033150032,0.002675724,0.000648087,0.036473843,0.003323811,27229.44588,24748.06415,483.8273414,1997.554393,6.095865751
28,control,2,control_2,67.86,0.001496461,0.000468638,0.000318507,0.000709316,0.001027823,2.227001429,0.101549815,0.031801768,0.021613888,0.048134159,0.069748047,2.227001429,6.484028572,5.2696197,5.73535323,3048095.516,186045.7272,543692.3592,3777833.602,729738.0864,6.577242825,5.863167013,0.076202388,0.013592309,0.004651143,0.09444584,0.018243452,55670.99326,44917.41108,2741.61107,8011.971105,7.019634962
29,control,2,control_2,45.49,0.002442392,0.000598608,0.000896864,0.000946921,0.001843784,1.05581313,0.111104412,0.027230667,0.040798331,0.043075414,0.083873745,1.05581313,4.815435927,5.693011071,3.360255136,65378.64674,493186.3764,2292.213871,560857.237,495478.5903,5.748852328,5.695024893,0.001634466,5.73053E-05,0.012329659,0.014021431,0.012386965,12329.24241,1437.209205,10841.6438,50.38940143,6.771398856
32,control,2,control_2,61.95,0.002512986,0.00069327,0.000795685,0.001024031,0.001819716,1.286979513,0.155679476,0.042948087,0.049292697,0.063438692,0.112731389,1.286979513,6.400184175,4.385118762,5.733176822,2512951.896,24272.73764,540974.5345,3078199.168,565247.2721,6.488296716,5.752238475,0.062823797,0.013524363,0.000606818,0.076954979,0.014131182,49688.44501,40564.19525,391.8117456,8732.438006,6.700193616
34,control,2,control_2,52.57,0.002295061,0.000871522,0.000640476,0.000783063,0.001423539,1.222626562,0.120651335,0.045815903,0.033669818,0.041165614,0.074835432,1.222626562,6.833429591,4.932223199,4.856799105,6814430.89,85550.62734,71911.62541,6971893.143,157462.2528,6.843350722,5.19717646,0.170360772,0.001797791,0.002138766,0.174297329,0.003936556,132621.1364,129625.8492,1627.365938,1367.921351,6.323069191
35,control,2,control_2,72.46,0.002718432,0.001478657,0.001005025,0.00023475,0.001239775,0.233576295,0.196977595,0.107143487,0.072824119,0.017009988,0.089834107,0.233576295,6.683767928,5.470534581,5.883350046,4828007.406,295484.416,764451.6918,5887943.514,1059936.108,6.769963635,6.025279687,0.120700185,0.019111292,0.00738711,0.147198588,0.026498403,81257.8459,66629.96696,4077.896991,10549.98195,7.071838431
36,control,2,control_2,48.79,0.002904387,0.000624376,0.001053352,0.001226659,0.002280011,1.164528963,0.141705024,0.030463287,0.051393046,0.059848691,0.111241737,1.164528963,6.131798076,4.789319451,3.566113089,1354559.467,61562.954,3682.248458,1419804.669,65245.20246,6.1522286,4.814548583,0.033863987,9.20562E-05,0.001539074,0.035495117,0.00163113,29100.32116,27763.05528,1261.794507,75.47137647,5.768280821
38,control,2,control_2,59.22,0.00272764,0.000864219,0.001108959,0.000754462,0.001863421,0.680333683,0.161530825,0.051179044,0.06567254,0.044679241,0.110351781,0.680333683,6.420133996,4.827659648,4.651012282,2631079.65,67244.94579,44772.59659,2743097.192,112017.5424,6.438241196,5.04928604,0.065776991,0.001119315,0.001681124,0.06857743,0.002800439,46320.45242,44428.90324,1135.510736,756.0384429,6.006506692
39,control,2,control_2,46.21,0.001787758,0.000531543,0.000637875,0.00061834,0.001256215,0.96937546,0.082612314,0.024562601,0.029476204,0.028573509,0.058049713,0.96937546,6.410409244,4.438671263,4.016585595,2572819.058,27458.14938,10389.28345,2610666.491,37847.43283,6.416751395,4.578036427,0.064320476,0.000259732,0.000686454,0.065266662,0.000946186,56495.70419,55676.67297,594.2036222,224.8276012,5.814236348
92,crash,2,crash_2,56.23,0.002349521,0.000878845,0.000800914,0.000669762,0.001470676,0.836247735,0.132113562,0.049417452,0.045035378,0.037660733,0.08269611,0.836247735,7.00864145,6.401610003,4.913288238,10200969.52,2521215.703,81900.81778,12804086.04,2603116.521,7.107348584,6.415493608,0.255024238,0.00204752,0.063030393,0.320102151,0.065077913,227709.1595,181415.0724,44837.55474,1456.532417,7.498008526
93,crash,2,crash_2,64.7,0.001912864,0.000461414,0.000647046,0.000804404,0.00145145,1.243194286,0.123762311,0.029853517,0.04186387,0.052044924,0.093908795,1.243194286,7.025158564,5.148363202,5.655091244,10596405.38,140722.39,451950.888,11189078.66,592673.278,7.048794327,5.772815347,0.264910135,0.011298772,0.00351806,0.279726966,0.014816832,172937.8463,163777.5175,2174.9983,6985.330572,6.80010908
94,crash,2,crash_2,55.21,0.003027846,0.001493655,0.000901347,0.000632844,0.00153419,0.702109298,0.167167358,0.082464707,0.049763344,0.034939307,0.084702651,0.702109298,7.334784568,6.285429486,5.584643525,21616459.72,1929432.04,384276.2335,23930167.99,2313708.274,7.378945747,6.3643086,0.540411493,0.009606906,0.048235801,0.5982542,0.057842707,433439.0146,391531.6015,34947.14798,6960.265052,7.436411597
95,crash,2,crash_2,59.71,0.002586935,0.000961706,0.001075986,0.000549242,0.001625229,0.51045492,0.154465888,0.05742349,0.064247133,0.032795265,0.097042397,0.51045492,7.062171004,6.176098889,4.595983351,11539075.22,1500026.354,39444.21808,13078545.79,1539470.572,7.116559457,6.187371392,0.288476881,0.000986105,0.037500659,0.326963645,0.038486764,219034.4296,193251.9715,25121.86156,660.5965178,7.200409875
96,crash,2,crash_2,46.25,0.002139303,0.000849941,0.000823173,0.000466189,0.001289362,0.56633164,0.098942769,0.03930976,0.038071764,0.021561245,0.059633009,0.56633164,7.285751325,5.229367145,6.421089813,19308623.96,169577.077,2636876.639,22115077.68,2806453.716,7.344688469,6.448157884,0.482715599,0.065921916,0.004239427,0.552876942,0.070161343,478163.8416,417483.7613,3666.531395,57013.54895,7.672671161
98,crash,2,crash_2,65.82,0.001322501,0.000611129,0.000419288,0.000292084,0.000711373,0.696618839,0.087047048,0.040224509,0.027597559,0.01922498,0.046822539,0.696618839,7.166006867,6.774838048,6.554459346,14655710.15,5954400.578,3584753.9,24194864.63,9539154.478,7.383723197,6.979509882,0.366392754,0.089618848,0.148860014,0.604871616,0.238478862,367591.3799,222663.4784,90464.91307,54462.98845,8.309054922
99,crash,2,crash_2,51.6,0.001569455,0.000269276,0.000701429,0.00059875,0.001300179,0.853613912,0.080983876,0.013894637,0.03619375,0.030895489,0.067089239,0.853613912,7.484489074,6.293000045,6.519162342,30513292.62,1963360.478,3304930.587,35781583.69,5268291.065,7.553659558,6.721669761,0.762832316,0.082623265,0.049084012,0.894539592,0.131707277,693441.5443,591342.8802,38049.62167,64049.04238,7.895016895
100,crash,2,crash_2,47.99,0.001718473,0.000611399,0.000764826,0.000342247,0.001107074,0.447484017,0.082469507,0.029341048,0.036704004,0.016424455,0.053128459,0.447484017,6.688118887,4.092754062,5.208370387,4876619.685,12380.95262,161573.5946,5050574.232,173954.5472,6.703340759,5.240435786,0.121915492,0.00403934,0.000309524,0.126264356,0.004348864,105242.222,101617.4137,257.9902609,3366.817975,6.515108564
101,crash,2,crash_2,31.88,0.003046045,0.001453817,0.000948203,0.000644026,0.001592228,0.679206911,0.097107919,0.046347681,0.030228697,0.02053154,0.050760238,0.679206911,5.53954704,3.567904218,4.030936923,346375.4001,3697.46625,10738.33438,360811.2007,14435.80063,5.557280011,4.159440875,0.008659385,0.000268458,9.24367E-05,0.00902028,0.000360895,11317.79174,10864.97491,115.9807481,336.8360847,5.45391723
102,crash,2,crash_2,49.71,0.002260362,0.000899147,0.000872853,0.000488362,0.001361215,0.559501584,0.11236258,0.044696575,0.043389507,0.024276498,0.067666005,0.559501584,6.784227481,6.298521064,5.542562776,6084536.218,1988479.252,348788.9969,8421804.467,2337268.249,6.925405154,6.368708559,0.152113405,0.008719725,0.049711981,0.210545112,0.058431706,169418.7179,122400.6481,40001.59429,7016.475496,7.538338021
105,crash,2,crash_2,57.29,0.002535837,0.000888623,0.000862995,0.000784219,0.001647214,0.908718588,0.145278118,0.050909216,0.049440972,0.04492793,0.094368902,0.908718588,5.801805127,3.364316028,4.240020681,633585.35,2313.747847,17378.83583,653277.9337,19692.58368,5.815097989,4.2943027,0.015839634,0.000434471,5.78437E-05,0.016331948,0.000492315,11403.00111,11059.26602,40.38659185,303.3485046,5.319473797
107,crash,2,crash_2,64.28,0.001658647,0.000766224,0.000431213,0.00046121,0.000892423,1.069563859,0.10661783,0.049252892,0.027718371,0.029646568,0.057364939,1.069563859,7.590311432,6.310809955,5.931874428,38932422.91,2045549.321,854819.5148,41832791.75,2900368.836,7.621516849,6.46245323,0.973310573,0.021370488,0.051138733,1.045819794,0.072509221,650790.1641,605669.3048,31822.48477,13298.37453,7.703806697
109,crash,2,crash_2,64.61,0.003641023,0.00177185,0.000823382,0.001045791,0.001869173,1.270115792,0.235246504,0.114479239,0.053198725,0.06756854,0.120767265,1.270115792,7.149212231,6.52665534,6.21502861,14099776.57,3362446.171,1640697.854,19102920.6,5003144.025,7.28109977,6.699243005,0.352494414,0.041017446,0.084061154,0.477573015,0.125078601,295665.0765,218229.0136,52042.19426,25393.86866,7.617293775
